matrix1_label,matrix2_label,total_games,matrix1_wins,matrix2_wins,ties,matrix1_win_rate,matrix2_win_rate,tie_rate,matrix1_as_first_wins,matrix2_as_first_wins,average_game_duration,average_move_count,first_player_advantage
conservative,moderate,6,0,6,0,0.0000,1.0000,0.0000,0,3,0.034,16.50,0.000000
conservative,aggressive,6,0,6,0,0.0000,1.0000,0.0000,0,3,0.035,17.50,0.000000
conservative,very_aggressive,6,0,6,0,0.0000,1.0000,0.0000,0,3,0.041,20.50,0.000000
moderate,aggressive,6,0,3,3,0.0000,0.5000,0.5000,0,0,0.076,38.00,-0.500000
moderate,very_aggressive,6,3,0,3,0.5000,0.0000,0.5000,3,0,0.085,42.50,0.000000
aggressive,very_aggressive,6,0,6,0,0.0000,1.0000,0.0000,0,3,0.072,36.50,0.000000
