label,w0_0,w0_1,w0_2,w0_3,w0_4,w1_0,w1_1,w1_2,w1_3,w1_4,w2_0,w2_1,w2_2,w2_3,w2_4,w3_0,w3_1,w3_2,w3_3,w3_4,w4_0,w4_1,w4_2,w4_3,w4_4
default,0,-2,-4,-8,-16,2,0,0,0,0,4,0,1,0,0,8,0,0,0,0,16,0,0,0,0
aggressive,-5,-10,-15,-25,-50,5,0,0,0,0,10,0,2,0,0,20,0,0,0,0,40,0,0,0,0
defensive,5,2,1,-2,-8,8,0,0,0,0,12,0,1,0,0,16,0,0,0,0,24,0,0,0,0
balanced,1,-1,-2,-4,-8,3,0,0,0,0,6,0,1,0,0,12,0,0,0,0,20,0,0,0,0
notso,0,-2,-4,-8,-16,2,0,0,0,0,4,0,1,0,0,8,-16,0,0,0,16,0,0,0,0
